Date,PRECTOT (mm),T2M_MAX (°C),T2M_MIN (°C),ALLSKY_SFC_SW_DWN (MJ/m²),RH2M (%),WS2M (m/s)
2015-01-01,4.983570765056164,36.07292886986056,16.785055424759385,15.566024385075192,70.52457386889444,0.5
2015-01-02,1.8086784941440768,25.91047798622157,17.191276014619955,13.96852834711148,77.79828640755049,1.4874908439281511
2015-01-03,5.7384426905034625,30.569118502831188,16.62744172848983,19.014949187099333,66.24891005056436,1.90152721372107
2015-01-04,10.115149282040127,28.01405346661017,15.134657420520695,10.827694408350443,85.68518985472554,2.733327146551237
2015-01-05,1.3292331263833201,31.277661618579106,18.291672940430768,16.848375692528318,62.11952376766992,2.7314711245143877
2015-01-06,1.3293152152540972,30.057443332247257,19.170598873032677,18.980154657261625,76.56929066342089,2.3638209664230567
2015-01-07,10.396064077536957,28.075539272867072,19.029767192152743,16.920192412699343,84.33832838659845,3.0081964292831653
2015-01-08,6.337173645764544,31.46361685461322,19.63985050527047,11.826196227257011,56.227045107279,1.6790060997576801
2015-01-09,0.1526280703252394,35.41304432936023,18.648680420029738,24.37671182481605,66.5666482414755,2.988188004555197
2015-01-10,5.212800217929823,29.427288624818104,16.934549003566193,18.414152615796702,81.42207392885558,2.8797936838719127
2015-01-11,0.18291153593768872,32.15927382644455,19.67932772886238,23.724608471046963,81.57244547731025,2.8020437862703282
2015-01-12,0.17135123214871584,26.12018112638651,15.28496492031613,16.95985499927822,68.28504399611761,2.354367655131475
2015-01-13,3.7098113578301706,27.130690869545973,16.19865723497504,14.479952073236944,62.653289063231405,3.9645950598650095
2015-01-14,0.0,31.417218833641133,16.07159985715351,19.07672368102064,79.55935822330763,2.894556550791903
2015-01-15,0.0,34.452348085607895,20.16011211827862,17.13685149468712,81.83549102581605,1.725331309397153
2015-01-16,0.0,31.06684004635698,19.885577028280153,13.288954168034568,58.35336651487605,2.6986443805887874
2015-01-17,0.0,29.060825908430537,18.97461047408999,23.87913703514998,57.960863510336196,3.1019867016593747
2015-01-18,4.07123666297637,29.997874216270063,20.143859730423593,15.510919108424016,72.25256681983599,2.0295131208605524
